carrier,flight_number,total_fare,currency,travel_date,collector
IX,IX1165,6245.00,INR,2026-10-20,playwright_network
SG,SG802,6528.00,INR,2026-10-20,playwright_network
SG,SG162,6528.00,INR,2026-10-20,playwright_network
IX,IX1082,6611.00,INR,2026-10-20,playwright_network
IX,IX1817,6611.00,INR,2026-10-20,playwright_network
IX,IX1049,6611.00,INR,2026-10-20,playwright_network
QP,QP1833,6530.00,INR,2026-10-20,playwright_network
IX,IX1056,6898.00,INR,2026-10-20,playwright_network
QP,QP1119,6609.00,INR,2026-10-20,playwright_network
6E,6E5014,6618.00,INR,2026-10-20,playwright_network
6E,6E6454,6618.00,INR,2026-10-20,playwright_network
6E,6E5119,6618.00,INR,2026-10-20,playwright_network
6E,6E6171,6618.00,INR,2026-10-20,playwright_network
6E,6E2076,6618.00,INR,2026-10-20,playwright_network
6E,6E931,6618.00,INR,2026-10-20,playwright_network
6E,6E6261,6618.00,INR,2026-10-20,playwright_network
6E,6E2169,6750.00,INR,2026-10-20,playwright_network
6E,6E2249,6750.00,INR,2026-10-20,playwright_network
6E,6E6829,6750.00,INR,2026-10-20,playwright_network
6E,6E6443,6750.00,INR,2026-10-20,playwright_network
6E,6E6459,6750.00,INR,2026-10-20,playwright_network
6E,6E6433,6750.00,INR,2026-10-20,playwright_network
6E,6E6479,6828.00,INR,2026-10-20,playwright_network
6E,6E758,6828.00,INR,2026-10-20,playwright_network
6E,6E6050,6828.00,INR,2026-10-20,playwright_network
6E,6E5038,6828.00,INR,2026-10-20,playwright_network
IX,IX1235,7168.00,INR,2026-10-20,playwright_network
6E,6E6026,6960.00,INR,2026-10-20,playwright_network
6E,6E2381,6960.00,INR,2026-10-20,playwright_network
QP,QP1807,6977.00,INR,2026-10-20,playwright_network
QP,QP1110,6977.00,INR,2026-10-20,playwright_network
QP,QP1128,6977.00,INR,2026-10-20,playwright_network
QP,QP1820,6977.00,INR,2026-10-20,playwright_network
6E,6E324,7019.00,INR,2026-10-20,playwright_network
6E,6E322,7019.00,INR,2026-10-20,playwright_network
6E,6E864,7019.00,INR,2026-10-20,playwright_network
6E,6E6318,7019.00,INR,2026-10-20,playwright_network
6E,6E449,7019.00,INR,2026-10-20,playwright_network
6E,6E6218,7019.00,INR,2026-10-20,playwright_network
6E,6E6047,7019.00,INR,2026-10-20,playwright_network
6E,6E6676,7019.00,INR,2026-10-20,playwright_network
6E,6E675,7019.00,INR,2026-10-20,playwright_network
6E,6E353,7019.00,INR,2026-10-20,playwright_network
6E,6E6114,7019.00,INR,2026-10-20,playwright_network
6E,6E395,7019.00,INR,2026-10-20,playwright_network
6E,6E327,7019.00,INR,2026-10-20,playwright_network
6E,6E320,7019.00,INR,2026-10-20,playwright_network
6E,6E6328,7019.00,INR,2026-10-20,playwright_network
6E,6E6022,7019.00,INR,2026-10-20,playwright_network
6E,6E6107,7019.00,INR,2026-10-20,playwright_network
6E,6E6706,7169.00,INR,2026-10-20,playwright_network
6E,6E2113,7352.00,INR,2026-10-20,playwright_network
QP,QP1826,7366.00,INR,2026-10-20,playwright_network
6E,6E303,7469.00,INR,2026-10-20,playwright_network
6E,6E853,7469.00,INR,2026-10-20,playwright_network
6E,6E6814,7469.00,INR,2026-10-20,playwright_network
6E,6E354,7469.00,INR,2026-10-20,playwright_network
6E,6E6601,8059.00,INR,2026-10-20,playwright_network
6E,6E5138,8482.00,INR,2026-10-20,playwright_network
6E,6E5073,9047.00,INR,2026-10-20,playwright_network
6E,6E6983,9047.00,INR,2026-10-20,playwright_network
6E,6E329,9329.00,INR,2026-10-20,playwright_network
6E,6E2349,9374.00,INR,2026-10-20,playwright_network
IX,IX1783,9971.00,INR,2026-10-20,playwright_network
IX,IX1057,9971.00,INR,2026-10-20,playwright_network
IX,IX1049,10310.00,INR,2026-10-20,playwright_network
6E,6E704,10153.00,INR,2026-10-20,playwright_network
6E,6E717,10153.00,INR,2026-10-20,playwright_network
6E,6E357,10260.00,INR,2026-10-20,playwright_network
AI,AI1705,10834.00,INR,2026-10-20,playwright_network
6E,6E2013,10723.00,INR,2026-10-20,playwright_network
AI,AI1719,11035.00,INR,2026-10-20,playwright_network
AI,AI9759,11175.00,INR,2026-10-20,playwright_network
6E,6E6212,10994.00,INR,2026-10-20,playwright_network
6E,6E5298,11787.00,INR,2026-10-20,playwright_network
IX,IX1059,12222.00,INR,2026-10-20,playwright_network
IX,IX1064,12222.00,INR,2026-10-20,playwright_network
6E,6E6282,11918.00,INR,2026-10-20,playwright_network
IX,IX2749,13383.00,INR,2026-10-20,playwright_network
AI,AI2715,14293.00,INR,2026-10-20,playwright_network
6E,6E358,14130.00,INR,2026-10-20,playwright_network
AI,AI809,14405.00,INR,2026-10-20,playwright_network
AI,AI2939,14405.00,INR,2026-10-20,playwright_network
AI,AI2761,14760.00,INR,2026-10-20,playwright_network
AI,AI885,15365.00,INR,2026-10-20,playwright_network
AI,AI2499,15383.00,INR,2026-10-20,playwright_network
IX,IX1108,16201.00,INR,2026-10-20,playwright_network
AI,AI1743,16186.00,INR,2026-10-20,playwright_network
IX,IX1068,16937.00,INR,2026-10-20,playwright_network
AI,AI2907,16781.00,INR,2026-10-20,playwright_network
6E,6E882,16943.00,INR,2026-10-20,playwright_network
AI,AI2509,19206.00,INR,2026-10-20,playwright_network
IX,IX1815,20298.00,INR,2026-10-20,playwright_network
IX,IX1812,22104.00,INR,2026-10-20,playwright_network
IX,IX1081,23704.00,INR,2026-10-20,playwright_network
IX,IX1076,28272.00,INR,2026-10-20,playwright_network
IX,IX1067,28272.00,INR,2026-10-20,playwright_network
SG,SG612,6528.00,INR,2026-11-04,playwright_network
SG,SG510,6528.00,INR,2026-11-04,playwright_network
SG,SG475,6528.00,INR,2026-11-04,playwright_network
SG,SG603,6528.00,INR,2026-11-04,playwright_network
IX,IX1056,6688.00,INR,2026-11-04,playwright_network
IX,IX1235,6688.00,INR,2026-11-04,playwright_network
6E,6E353,7019.00,INR,2026-11-04,playwright_network
6E,6E6114,7019.00,INR,2026-11-04,playwright_network
6E,6E395,7019.00,INR,2026-11-04,playwright_network
6E,6E853,7019.00,INR,2026-11-04,playwright_network
6E,6E328,7019.00,INR,2026-11-04,playwright_network
6E,6E6706,7019.00,INR,2026-11-04,playwright_network
